date,zip_file,filename,raw_rows,aggregated_rows,unique_squares,unique_timestamps,internet_traffic_sum,processing_time_seconds,schema_ok,timestamps_all_10_minutes,missing_or_invalid_rows
2013-12-11,dataverse_files (1).zip,sms-call-internet-mi-2013-12-11.txt,5483990,1436296,9998,144,100530127.43851277,11.283,True,True,0
2013-12-12,dataverse_files (1).zip,sms-call-internet-mi-2013-12-12.txt,5538445,1436363,9998,144,100400406.55687042,11.091,True,True,0
2013-12-13,dataverse_files (1).zip,sms-call-internet-mi-2013-12-13.txt,5467246,1436369,9998,144,93567801.83561832,7.837,True,True,0
2013-12-14,dataverse_files (1).zip,sms-call-internet-mi-2013-12-14.txt,4634809,1436247,9998,144,80002733.89027582,3.853,True,True,0
2013-12-15,dataverse_files (1).zip,sms-call-internet-mi-2013-12-15.txt,4412002,1436185,9998,144,76177274.401855,3.656,True,True,0
2013-12-16,dataverse_files (1).zip,sms-call-internet-mi-2013-12-16.txt,5320759,1436377,9998,144,88886170.17466725,4.347,True,True,0
2013-12-17,dataverse_files (1).zip,sms-call-internet-mi-2013-12-17.txt,5476473,1436545,9998,144,91250149.48038578,4.544,True,True,0
2013-12-18,dataverse_files (1).zip,sms-call-internet-mi-2013-12-18.txt,5472133,1436418,9998,144,90273078.26493804,5.45,True,True,0
2013-12-19,dataverse_files (1).zip,sms-call-internet-mi-2013-12-19.txt,5572121,1436281,9998,144,91505145.40404412,5.592,True,True,0
2013-12-20,dataverse_files (1).zip,sms-call-internet-mi-2013-12-20.txt,5410674,1435397,9998,144,89305124.82124649,5.437,True,True,0
2013-12-21,dataverse_files (2).zip,sms-call-internet-mi-2013-12-21.txt,4705979,1435286,9998,144,76497159.54102781,4.517,True,True,0
2013-12-22,dataverse_files (2).zip,sms-call-internet-mi-2013-12-22.txt,4482939,1434985,9998,144,70951908.73853636,4.391,True,True,0
2013-12-23,dataverse_files (2).zip,sms-call-internet-mi-2013-12-23.txt,4986627,1435248,9998,144,76325561.86357251,4.684,True,True,0
2013-12-24,dataverse_files (2).zip,sms-call-internet-mi-2013-12-24.txt,5014066,1433342,9998,144,68992092.43526244,4.721,True,True,0
2013-12-25,dataverse_files (2).zip,sms-call-internet-mi-2013-12-25.txt,4907775,1433042,9998,144,62375851.909242816,4.563,True,True,0
2013-12-26,dataverse_files (2).zip,sms-call-internet-mi-2013-12-26.txt,4162680,1432935,9998,144,59294002.464679636,3.894,True,True,0
2013-12-27,dataverse_files (2).zip,sms-call-internet-mi-2013-12-27.txt,4547803,1433129,9998,144,63414786.61174233,4.342,True,True,0
2013-12-28,dataverse_files (2).zip,sms-call-internet-mi-2013-12-28.txt,4204331,1433050,9998,144,59173327.51914203,4.222,True,True,0
2013-12-29,dataverse_files (2).zip,sms-call-internet-mi-2013-12-29.txt,4071711,1433057,9998,144,55358845.82852575,4.178,True,True,0
2013-12-30,dataverse_files (2).zip,sms-call-internet-mi-2013-12-30.txt,4508084,1433124,9998,144,60015884.18265387,4.418,True,True,0
2013-12-31,dataverse_files (2).zip,sms-call-internet-mi-2013-12-31.txt,4968039,1433116,9998,144,56843598.66689988,4.747,True,True,0
2014-01-01,dataverse_files (2).zip,sms-call-internet-mi-2014-01-01.txt,4930163,1432827,9998,144,53165859.79153319,4.672,True,True,0
